
台灣,#genre#
Skysports EPL,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tiankongepl
Skysports Football,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tiankongfootball
Skysports Golf,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tiankonggolf
Skysports Main Event,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tiankongmain
Skysports News,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tiankongnews
Skysports NFL,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tiankongnfl
Skysports Racing,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tiankongracing
Skysports Mix,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tiankongmix
CCTV-5 體育頻道,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv5
Arena,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Arena
CCTV-5+ 體育賽事 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv5plus
愛爾達體育1台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eltasport_twn
愛爾達體育2台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eltasport2_twn
愛爾達體育3台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eltasport3_twn
Arena 2,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Arena2
Beins 1 English,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=bein1eng_mega
Bein3 English,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=bein3eng_mega
Bein 4 Sports,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=bein4_mega
Bein 5 Sports,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=bein5_mega
Bein 1 Premium,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=bein1pre_mega
Bein 2 Premium,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=bein2pre_mega
Bein 3 Premium,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=bein3pre_mega
RTM Sports HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Rtmsport
BolaArena 1,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Bolaarena1
Bein 1 Xtra,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=bein1xtra_mega
Rugby Pass TV,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Rugbypasstv
Beinsports Rugby,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=go_beinsrugby
Asian Games 1HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Asiangame1
Asian Games 2HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Asiangame2
Asian Games 3HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Asiangame3

兒童頻道,#genre#
Baby TV Eng,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Babytv
CBeebies,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Cbeebies
Kids TV,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=KidsTV
Boomerang,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Boomerang
Disney Taiwan,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=disneytwn_twn
Momo TV,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=momo1_twn
Animax,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Animax
靖天卡通台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=jingtiancartoon_twn
Boomerang Taiwan,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=boomerang_twn
Baby TV,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=babytv_twn
MiaoMi,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=MiaoMi
東森幼幼 Yoyo TV,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=yoyo_twn
Cartoon Network,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Cn
Nickelodeon,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Nickelodeon
Nick Jr,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Nickjr

紀錄頻道,#genre#
Natgeo_HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=natgeohd_twn
NatGeo_Wild HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=natgeowild_twn
